Excercise,Equipment Required,Aux Equipment,Difficulty,Muscle Group,Primary,Secondary
Alternate Leg Pull,None,,Beginner,ABS & CORE,Rectus Abdominis,"Hip Flexors, Obliques, Quadriceps"
Alternate Leg Raise,None,,Beginner,ABS & CORE,"Rectus Abdominis, Obliques","Hip Flexors, Quadriceps, Erector Spinae"
Alternate Leg Raise From Reverse Plank Position,None,,Beginner,ABS & CORE,"Glutes, Hamstrings, Rectus Abdominis, Obliques","Deltoids, Triceps, Hip Flexors"
Alternate Oblique Crunch ,None,,Beginner,ABS & CORE,Obliques,"Rectus Abdominis, Transverse Abdominis, Hip Flexors, Erector Spinae"
Bicycle Ab Exercise,None,,Beginner,ABS & CORE,"Obliques, Rectus Abdominis, Transverse Abdominis","Hip Flexors, Quadriceps, Erector Spinae, Upper Back/Neck Muscles"
Bicycle Crunches,None,,Beginner,ABS & CORE,"Rectus Abdominis, Obliques","Hip Flexors, Transverse Abdominis, Quadriceps, Hamstrings, Erector Spinae"
Bird Dog,None,,Beginner,ABS & CORE,"Erector Spinae, Rectus Abdominis, Transverse Abdominis, Multifidi","Glutes, Hamstrings, Deltoids, Serratus Anterior"
Bodyweight Front Plank To Downward Dog,None,,Beginner,ABS & CORE,"Deltoids, Obliques, Erector Spinae, Lats","Triceps, Pectorals, Glutes, Quadriceps, Hamstrings, Calves"
Burpees,None,,Beginner,ABS & CORE,"Quadriceps, Glutes, Pectorals, Deltoids, Rectus Abdominis, Erector Spinae","Triceps, Hamstrings, Gastrocnemius, Soleus"
Cable Crunch,Cable machine,,Intermediate,ABS & CORE,"Rectus Abdominis, Obliques","Transverse Abdominis, Hip Flexors, Erector Spinae, Deltoids, Lats, Biceps"
Cable Crunch Reverse,Cable machine,,Intermediate,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Rectus Abdominis "
Cable Palloff Press,Cable machine,,Intermediate,ABS & CORE,"Obliques, Transverse Abdominis, Rectus Abdominis, Erector Spinae","Glutes, Deltoids, Rhomboids, Trapezius, Triceps, Pectorals"
Cable Standing Russian Twist,Cable machine,,Intermediate,ABS & CORE,"Obliques, Rectus Abdominis ","Transverse Abdominis, Erector Spinae, Deltoids, Hip Flexors, Rhomboids"
Cable Wood Chop,Cable machine,,Intermediate,ABS & CORE,"Obliques, Transverse Abdominis, Rectus Abdominis","Glutes, Deltoids, Erector Spinae, Quadriceps, Hamstrings, Calves"
Copenhagen Plank,Plyometric box,Stability ball,Advanced,ABS & CORE,"Adductors, Obliques ","Transverse Abdominis, Rectus Abdominis, Deltoids, Trapezius, Serratus Anterior, Glutes, Quadriceps"
Crunch With Stability Ball,Stability ball,,Advanced,ABS & CORE,Rectus Abdominis ,"Obliques, Transverse Abdominis, Hip Flexors, Erector Spinae"
Crunches,None,,Beginner,ABS & CORE,Rectus Abdominis,"Obliques, Transverse Abdominis, Hip Flexors, Erector Spinae"
Crunches Raised Legs,None,,Beginner,ABS & CORE,"Rectus Abdominis, Obliques","Hip Flexors, Quadriceps, Erector Spinae"
Decline Crunch,Decline,,Advanced,ABS & CORE,Upper Abdominals,"Obliques, Lower Abdominals, Hip Flexors, Transverse Abdominis  "
Elbow To Knee Side Plank Crunch,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis, Hip Flexors","Deltoids, Glutes, Erector Spinae, Triceps"
Elbow Up Down Planks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Transverse Abdominis, Obliques, Deltoids, Triceps, Pectorals","Erector Spinae, Trapezius, Rhomboids, Glutes, Quadriceps, Biceps"
Flutter Kicks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Quadriceps, Obliques, Erector Spinae, Hamstrings, Glutes"
Frog Kicks,None,,Beginner,ABS & CORE,"Gluteus, Abdominals","Hamstrings, Hip Flexors, Adductors, Erector Spinae, Erector Spinae, Quadriceps"
Hanging Knee Raises,Pull-up bar,,Advanced,ABS & CORE,"Rectus Abdominis, Hip Flexors, Quadriceps","Obliques, Serratus Anterior"
Hanging Leg Raises,Pull-up bar,,Advanced,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Latissimus Dorsi, Quadriceps, Erector Spinae"
Heel Taps,None,,Beginner,ABS & CORE,"Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors"
High Knees,None,,Beginner,ABS & CORE,"Hip Flexors, Rectus Abdominis","Quadriceps, Hamstrings, Gastrocnemius, Obliques"
High Straight Arm Plank,None,,Beginner,ABS & CORE,"Transverse Abdominis, Rectus Abdominis, Deltoids","Obliques, Erector Spinae, Glutes, Quadriceps"
Hip Raise Bent Knee,None,,Beginner,ABS & CORE,"Glutes, Hamstrings","Erector Spinae, Transverse Abdominis, Hip Flexors"
Hip Raise Straight Leg,None,,Beginner,ABS & CORE,"Glutes, Hamstrings, Erector Spinae","Transverse Abdominis, Hip Flexors, Calves"
Hip Roll Plank,None,,Beginner,ABS & CORE,"Obliques, Transverse Abdominis","Rectus Abdominis, Erector Spinae, Glutes, Deltoids"
Hollow Body Hold,None,,Beginner,ABS & CORE,"Rectus Abdominis, Transverse Abdominis, Hip Flexors","Obliques, Erector Spinae, Quadriceps"
Hollow Rocks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Transverse Abdominis, Hip Flexors","Obliques, Quadriceps, Erector Spinae"
Jack Plank Exercise,None,,Beginner,ABS & CORE,"Transverse Abdominis, Rectus Abdominis, Deltoids","Obliques, Glutes, Hip Abductors, Quadriceps"
Jackknife Sit-Ups,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Jackknives,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Jumping Jacks,None,,Beginner,ABS & CORE,"Gastrocnemius, Deltoids, Glutes","Hip Abductors, Quadriceps, Obliques, Soleus"
Kettlebell Ab Crunch,None,,Beginner,ABS & CORE,Rectus Abdominis,"Obliques, Transverse Abdominis, Hip Flexors"
Knee Tucks,None,,Beginner,ABS & CORE,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Landmine Twist,Barbells,,Advanced,ABS & CORE,"Obliques, Rectus Abdominis","Transverse Abdominis, Erector Spinae, Deltoids, Glutes"
